## htsjdk.samtools.metrics.StringHeader
# CollectInsertSizeMetrics HISTOGRAM_FILE=results/alignment/NA12878.insert_histogram.pdf INPUT=results/alignment/NA12878.markdup.bam OUTPUT=results/alignment/NA12878.insert_metrics.txt    DEVIATIONS=10.0 MINIMUM_PCT=0.05 METRIC_ACCUMULATION_LEVEL=[ALL_READS] INCLUDE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Mon Mar 30 15:39:29 IST 2026

## METRICS CLASS	picard.analysis.InsertSizeMetrics
MEDIAN_INSERT_SIZE	MODE_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_95_PERCENT	WIDTH_OF_99_PERCENT	SAMPLE	LIBRARY	READ_GROUP
500	501	34	264	714901	499.710855	50.105693	99968	FR	13	27	39	53	69	85	105	129	165	197	259			

## HISTOGRAM	java.lang.Integer
insert_size	All_Reads.fr_count
264	1
297	1
304	1
308	1
310	1
311	1
312	1
313	2
321	1
323	2
325	1
326	1
327	3
328	2
329	2
330	2
331	2
333	3
334	4
335	7
336	2
337	5
338	6
339	3
340	6
341	7
342	7
343	5
344	7
345	4
346	5
347	8
348	12
349	8
350	5
351	9
352	6
353	11
354	12
355	9
356	17
357	13
358	14
359	13
360	18
361	24
362	18
363	15
364	21
365	23
366	16
367	13
368	14
369	36
370	37
371	41
372	25
373	32
374	36
375	31
376	30
377	33
378	47
379	42
380	39
381	54
382	57
383	51
384	72
385	50
386	69
387	70
388	65
389	63
390	60
391	89
392	89
393	74
394	85
395	80
396	104
397	109
398	96
399	93
400	105
401	109
402	120
403	137
404	128
405	126
406	133
407	131
408	153
409	121
410	145
411	166
412	177
413	159
414	204
415	175
416	202
417	211
418	250
419	219
420	221
421	232
422	267
423	272
424	238
425	267
426	258
427	294
428	310
429	300
430	346
431	283
432	321
433	340
434	349
435	345
436	353
437	395
438	357
439	389
440	425
441	373
442	381
443	400
444	424
445	422
446	474
447	464
448	453
449	501
450	466
451	519
452	500
453	554
454	559
455	548
456	519
457	575
458	583
459	566
460	552
461	587
462	596
463	542
464	592
465	631
466	597
467	661
468	648
469	676
470	676
471	660
472	718
473	696
474	664
475	695
476	699
477	677
478	715
479	694
480	713
481	757
482	777
483	793
484	763
485	766
486	769
487	707
488	788
489	757
490	785
491	790
492	790
493	794
494	833
495	829
496	789
497	792
498	772
499	823
500	783
501	844
502	801
503	798
504	818
505	818
506	782
507	792
508	787
509	793
510	765
511	749
512	746
513	730
514	796
515	728
516	777
517	743
518	732
519	781
520	721
521	724
522	722
523	725
524	698
525	677
526	676
527	672
528	686
529	667
530	729
531	642
532	658
533	642
534	642
535	604
536	596
537	592
538	632
539	624
540	531
541	577
542	584
543	496
544	572
545	532
546	530
547	477
548	505
549	446
550	466
551	479
552	434
553	471
554	453
555	387
556	431
557	458
558	409
559	380
560	360
561	367
562	373
563	362
564	368
565	326
566	311
567	323
568	321
569	295
570	276
571	269
572	287
573	276
574	271
575	261
576	262
577	240
578	225
579	249
580	230
581	209
582	234
583	169
584	191
585	185
586	197
587	214
588	150
589	156
590	154
591	139
592	131
593	142
594	130
595	140
596	131
597	120
598	126
599	109
600	116
601	92
602	91
603	95
604	94
605	83
606	90
607	83
608	71
609	71
610	65
611	57
612	67
613	59
614	51
615	62
616	56
617	70
618	54
619	56
620	47
621	38
622	43
623	32
624	35
625	41
626	42
627	37
628	29
629	30
630	26
631	24
632	25
633	24
634	21
635	18
636	19
637	23
638	18
639	14
640	14
641	22
642	10
643	13
644	14
645	18
646	12
647	20
648	11
649	6
650	13
651	5
652	9
653	7
654	3
655	12
656	8
657	8
658	4
659	4
660	5
661	4
662	4
663	3
664	3
665	5
666	2
667	5
668	4
669	2
670	3
671	1
673	1
674	1
675	3
676	1
677	2
678	2
679	2
681	1
685	1
686	1
688	1
691	1
692	1
700	1
701	1
703	1
706	1
713	1
721	1

