# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_variant	variants_effect_disruptive_inframe_insertion	variants_effect_downstream_gene_variant	variants_effect_frameshift_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_splice_region_variant	variants_effect_stop_gained	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
AAR2	ENSG00000131043	ENST00000320849	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
AAR2	ENSG00000131043	ENST00000373932	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
AAR2	ENSG00000131043	ENST00000397286	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
ABHD12	ENSG00000100997	ENST00000339157	protein_coding	0	0	0	3	0	0	0	0	0	3	0	0	0	0	0	0
ABHD12	ENSG00000100997	ENST00000376542	protein_coding	0	0	0	3	0	0	0	0	0	3	0	0	0	0	0	0
ABHD12	ENSG00000100997	ENST00000450393	protein_coding	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0
ABHD12	ENSG00000100997	ENST00000461204	nonsense_mediated_decay	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0
ABHD12	ENSG00000100997	ENST00000465694	nonsense_mediated_decay	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
ABHD12	ENSG00000100997	ENST00000471287	protein_coding	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0
ABHD12	ENSG00000100997	ENST00000491682	protein_coding	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0
ABHD12	ENSG00000100997	ENST00000576316	protein_coding	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
ABHD12	ENSG00000100997	ENST00000671784	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
ABHD12	ENSG00000100997	ENST00000671858	protein_coding	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
